experiment,case,sample,arm,outcome,elapsed_ms,input_tokens,output_tokens,actual_provider,generation_id
executor-replay,provider-error,1,candidate,correct,875,491,67,fireworks,gen_01M28DHCSS1THQ58JAGGSGNB5K
executor-replay-deepinfra,mcp,0,baseline,correct,7115,248,24,deepinfra,gen_01M28DHQ9MHPQS98ZPJ680ZGTN
executor-replay-deepinfra,mcp,0,candidate,correct,8626,341,25,deepinfra,gen_01M28DHY47GTAHXDWMZN4TZN3C
executor-replay-deepinfra,rest,0,baseline,correct,1944,233,30,deepinfra,gen_01M28DJ6HYRFC0DSRCD1ENXRF4
executor-replay-deepinfra,rest,0,candidate,correct,21290,326,36,deepinfra,gen_01M28DJ8EZ4AMN4ACMG9VQ3DX0
executor-replay-deepinfra,provider-error,0,baseline,correct,15830,242,26,deepinfra,gen_01M28DK3R69RGTSDQQ76S4KJWD
executor-replay-deepinfra,provider-error,0,candidate,correct,6389,335,35,deepinfra,gen_01M28DKCRW2V2ZHG00Q6T0KVVJ
executor-replay-deepinfra,denied,0,baseline,correct,7237,232,26,deepinfra,gen_01M28DKJY91MDP6RAG7TNGB1AB
executor-replay-deepinfra,denied,0,candidate,correct,32542,325,26,deepinfra,gen_01M28DM0AG1975JMYYY0CRDHVJ
executor-replay-deepinfra,mcp,1,candidate,correct,20634,341,25,deepinfra,gen_01M28DMSVJ2E7JPT7200EJJXHH
executor-replay-deepinfra,mcp,1,baseline,correct,20185,248,24,deepinfra,gen_01M28DNDY7G420RHMPQ9MYNXCT
executor-replay-deepinfra,rest,1,candidate,correct,39224,326,30,deepinfra,gen_01M28DP3SEGW3EZ0V4S9FFYT1A
executor-replay-deepinfra,rest,1,baseline,correct,2075,233,24,deepinfra,gen_01M28DQ7YMYT1R3YD14X1YVTF9
executor-replay-deepinfra,provider-error,1,candidate,correct,2999,335,26,deepinfra,gen_01M28DQ9ZJJ58K0DTXZCPJBJZE
executor-replay-deepinfra,provider-error,1,baseline,correct,7177,242,26,deepinfra,gen_01M28DQCXG6FYXFBX72GEAR0Z5
executor-replay-deepinfra,denied,1,candidate,correct,1917,325,26,deepinfra,gen_01M28DQKXSTBHH2AJ6EHHBY00H
executor-replay-deepinfra,denied,1,baseline,AbortError,60002,,,,
executor-replay-deepinfra,mcp,2,baseline,AI_RetryError,7177,,,,
executor-replay-deepinfra,mcp,2,candidate,correct,47441,341,30,deepinfra,gen_01M28DSSP81DQY19119Q5J8DP9
executor-replay-deepinfra,rest,2,baseline,correct,24139,233,36,deepinfra,gen_01M28DV5RC85MSKM8G5PZ38579
executor-replay-deepinfra,rest,2,candidate,correct,57726,326,25,deepinfra,gen_01M28DVXA1ZE1RQS965CER8QHQ
executor-replay-deepinfra,provider-error,2,baseline,correct,52475,242,26,deepinfra,gen_01M28DXNNTHVX5RJ79858QFH53
executor-replay-deepinfra,provider-error,2,candidate,AbortError,60002,,,,
executor-replay-deepinfra,denied,2,baseline,correct,22099,232,26,deepinfra,gen_01M28E15ZHF0SB1K42T1ZWVSR9
executor-replay-deepinfra,denied,2,candidate,correct,33160,325,26,deepinfra,gen_01M28E1S31GQABZT0BG8N6VSV0
